,Apartment,Customer,April,May,June,July
1504,동탄2LH4,etri18473148503,177.2,178.7,172.1,276.4
1505,동탄2LH4,etri18473148814,116.0,176.4,127.5,103.2
1506,동탄2LH4,etri18473148955,70.3,81.3,68.5,95.5
1507,동탄2LH4,etri18473150046,122.4,110.6,114.0,143.0
1508,동탄2LH4,etri18473150324,103.0,95.9,98.2,112.4
1509,동탄2LH4,etri18473150632,240.7,228.7,279.0,433.4
1510,동탄2LH4,etri18473151712,160.3,148.1,150.0,151.0
1511,동탄2LH4,etri18473151777,46.4,49.6,62.0,82.2
1512,동탄2LH4,etri18473151813,142.9,150.5,180.7,285.3
1513,동탄2LH4,etri18473152559,98.7,108.9,129.4,181.3
1514,동탄2LH4,etri18473152804,113.8,104.5,102.4,108.6
1515,동탄2LH4,etri18473152973,104.3,126.7,144.9,200.5
1516,동탄2LH4,etri18473153048,68.4,69.6,85.0,151.0
1517,동탄2LH4,etri18473153507,117.1,142.5,179.0,218.5
1518,동탄2LH4,etri18473153963,161.4,183.7,211.6,318.0
1519,동탄2LH4,etri18473154030,170.6,171.0,193.1,277.1
1520,동탄2LH4,etri18473154632,100.1,106.8,116.4,123.2
1521,동탄2LH4,etri18473154684,181.9,161.6,170.1,232.6
1522,동탄2LH4,etri18473156643,311.1,272.4,271.7,242.2
1523,동탄2LH4,etri18473157093,98.3,163.8,182.5,197.7
1524,동탄2LH4,etri18473157932,86.4,90.7,96.9,152.4
1525,동탄2LH4,etri18473158885,139.5,153.2,157.2,127.7
1526,동탄2LH4,etri18473158940,99.6,101.1,108.3,146.0
1527,동탄2LH4,etri18473159008,189.1,214.3,190.2,236.4
1528,동탄2LH4,etri18473159711,152.9,148.2,146.2,315.0
1529,동탄2LH4,etri18473160018,137.4,137.3,131.7,170.3
1530,동탄2LH4,etri18473160973,10.3,36.0,66.7,76.0
1531,동탄2LH4,etri18473161314,114.5,104.3,134.3,141.5
1532,동탄2LH4,etri18473161656,150.3,125.5,126.0,160.4
1533,동탄2LH4,etri18473161667,108.5,103.5,146.6,245.9
1534,동탄2LH4,etri18473161793,87.1,67.3,105.3,121.6
1535,동탄2LH4,etri18473162247,214.5,213.4,227.5,251.2
1536,동탄2LH4,etri18473162399,263.5,278.4,289.4,343.4
1537,동탄2LH4,etri18473162418,172.2,170.1,183.4,251.9
