,Apartment,Customer,April,May,June,July
4531,동작 본동 SH빌,2001149,168.09,201.31,195.58,212.72
4532,동작 본동 SH빌,2001150,165.18,196.54,189.13,274.59
4533,동작 본동 SH빌,2001152,70.57,82.5,95.59,185.92
4534,동작 본동 SH빌,2001154,122.36,145.33,166.18,236.25
4535,동작 본동 SH빌,2001155,220.4,284.0,296.94,439.33
4536,동작 본동 SH빌,2001156,143.63,190.78,194.65,330.85
4537,동작 본동 SH빌,2001157,163.96,119.24,230.4,263.88
4538,동작 본동 SH빌,2001158,208.46,235.41,233.93,266.34
4539,동작 본동 SH빌,2001159,78.53,103.05,100.18,139.14
4540,동작 본동 SH빌,2001160,90.04,122.35,134.07,151.08
4541,동작 본동 SH빌,2001161,138.59,173.07,225.53,335.29
4542,동작 본동 SH빌,2001162,175.32,218.69,247.99,420.83
4543,동작 본동 SH빌,2001164,104.39,169.93,213.72,271.93
4544,동작 본동 SH빌,2001165,185.29,213.35,208.95,228.85
4545,동작 본동 SH빌,2001167,143.93,179.57,196.01,306.61
4546,동작 본동 SH빌,2001168,65.54,77.31,94.73,128.87
