,Apartment,Customer,April,May,June,July
3316,화성 향남휴먼시아,1000100,200.158,271.75,252.061,358.33
3317,화성 향남휴먼시아,1000101,332.723,358.507,317.782,318.629
3318,화성 향남휴먼시아,1000102,131.41,139.219,154.371,274.68
3319,화성 향남휴먼시아,1000103,254.629,267.339,227.723,304.41
3320,화성 향남휴먼시아,1000104,141.631,156.5,142.0,170.449
3321,화성 향남휴먼시아,1000105,224.73,281.84,244.27,402.199
3322,화성 향남휴먼시아,1000106,191.543,239.148,221.699,199.91
3323,화성 향남휴먼시아,1000107,176.32,213.08,237.391,442.799
3324,화성 향남휴먼시아,1000108,214.402,265.329,276.679,369.41
3325,화성 향남휴먼시아,1000109,254.368,266.492,286.269,299.789
3326,화성 향남휴먼시아,1000110,178.098,169.441,154.801,249.179
3327,화성 향남휴먼시아,1000111,167.769,174.952,171.199,270.16
3328,화성 향남휴먼시아,1000112,65.691,84.512,110.777,149.11
3329,화성 향남휴먼시아,1000113,120.476,160.172,219.211,388.93
3330,화성 향남휴먼시아,1000114,219.301,292.641,295.992,464.277
3331,화성 향남휴먼시아,1000115,210.741,253.189,319.1,373.349
3332,화성 향남휴먼시아,1000116,160.961,202.449,202.008,375.0
3333,화성 향남휴먼시아,1000117,141.25,169.551,189.619,303.07
3334,화성 향남휴먼시아,1000118,153.199,190.07,197.039,233.801
3335,화성 향남휴먼시아,1000119,85.84,114.949,147.661,260.259
3336,화성 향남휴먼시아,1000120,242.629,282.242,216.86,313.468
3337,화성 향남휴먼시아,1000121,196.991,265.22,213.26,254.5
3338,화성 향남휴먼시아,1000122,144.179,183.561,168.73,209.731
3339,화성 향남휴먼시아,1000123,157.58,183.459,187.519,275.411
3340,화성 향남휴먼시아,1000125,266.011,297.571,276.687,333.653
3341,화성 향남휴먼시아,1000126,197.512,221.871,211.969,323.051
3342,화성 향남휴먼시아,1000129,166.949,178.041,189.068,219.272
3343,화성 향남휴먼시아,1000131,184.797,236.91,297.672,373.68
3344,화성 향남휴먼시아,1000133,148.172,202.738,253.562,320.047
3345,화성 향남휴먼시아,1000134,148.051,168.738,174.954,294.457
3346,화성 향남휴먼시아,1000135,212.352,245.929,167.59,292.219
3347,화성 향남휴먼시아,1000136,165.721,212.27,207.611,369.568
3348,화성 향남휴먼시아,1000137,131.742,167.09,185.257,263.121
3349,화성 향남휴먼시아,1000138,157.129,173.52,174.058,262.172
3350,화성 향남휴먼시아,1000139,176.422,221.867,282.723,384.226
3351,화성 향남휴먼시아,1000141,316.641,319.187,315.942,424.3
3352,화성 향남휴먼시아,1000142,137.559,156.691,160.941,206.45
3353,화성 향남휴먼시아,1000143,240.679,271.491,268.25,381.519
3354,화성 향남휴먼시아,1000144,222.98,270.637,202.402,236.36
3355,화성 향남휴먼시아,1000145,222.311,179.98,197.469,306.84
3356,화성 향남휴먼시아,1000146,139.973,195.527,218.711,314.0
3357,화성 향남휴먼시아,1000149,108.93,155.809,215.531,378.347
3358,화성 향남휴먼시아,1000150,174.369,217.291,250.099,415.34
3359,화성 향남휴먼시아,1000153,120.859,92.33,105.952,210.009
3360,화성 향남휴먼시아,1000154,141.259,179.741,233.48,463.75
3361,화성 향남휴먼시아,1000155,157.429,206.17,262.53,410.759
3362,화성 향남휴먼시아,1001000,154.0,193.461,207.961,279.929
3363,화성 향남휴먼시아,1001002,123.07,154.522,165.889,202.65
3364,화성 향남휴먼시아,1001003,277.301,259.44,264.3,383.241
3365,화성 향남휴먼시아,1001004,162.308,191.59,201.52,287.722
3366,화성 향남휴먼시아,1001005,176.16,205.0,202.769,296.45
3367,화성 향남휴먼시아,1001006,112.007,132.551,134.52,215.039
3368,화성 향남휴먼시아,1001007,134.711,303.551,327.84,446.66
3369,화성 향남휴먼시아,1001009,115.209,138.5,149.0,177.032
3370,화성 향남휴먼시아,1001010,275.238,331.621,367.422,410.387
3371,화성 향남휴먼시아,1001011,177.121,177.2,171.699,209.672
3372,화성 향남휴먼시아,1001012,89.0,120.59,121.541,168.738
3373,화성 향남휴먼시아,1001013,202.969,254.051,229.031,271.957
