,Apartment,Customer,April,May,June,July
6620,대구 태전휴먼시아 ,4000097,128.18,163.57,265.5,432.199
6621,대구 태전휴먼시아 ,4000098,113.339,161.379,190.411,238.31
6622,대구 태전휴먼시아 ,4000099,259.242,323.328,312.051,318.551
6623,대구 태전휴먼시아 ,4000100,214.301,262.359,255.082,339.02
6624,대구 태전휴먼시아 ,4000101,268.738,315.82,315.289,353.012
6625,대구 태전휴먼시아 ,4000102,288.402,373.789,373.0,535.238
6626,대구 태전휴먼시아 ,4000103,302.043,333.449,330.398,452.961
6627,대구 태전휴먼시아 ,4000104,232.218,290.454,304.468,361.93
6628,대구 태전휴먼시아 ,4000105,183.891,224.738,278.949,366.512
6629,대구 태전휴먼시아 ,4000106,174.813,228.726,242.391,308.422
6630,대구 태전휴먼시아 ,4000107,250.231,286.828,271.988,329.203
6631,대구 태전휴먼시아 ,4000108,189.391,233.098,252.332,388.828
6632,대구 태전휴먼시아 ,4000109,243.129,264.597,245.082,307.79
6633,대구 태전휴먼시아 ,4000110,185.968,227.321,237.23,260.512
6634,대구 태전휴먼시아 ,4000111,123.269,149.899,154.16,162.699
6635,대구 태전휴먼시아 ,4000112,342.289,385.821,356.773,390.399
6636,대구 태전휴먼시아 ,4000113,148.67,181.811,189.869,247.75
6637,대구 태전휴먼시아 ,4000114,159.0,179.5,192.903,216.918
6638,대구 태전휴먼시아 ,4000115,200.602,240.378,278.809,349.781
6639,대구 태전휴먼시아 ,4001000,291.777,356.622,407.101,574.149
6640,대구 태전휴먼시아 ,4001001,268.711,309.59,305.801,344.109
6641,대구 태전휴먼시아 ,4001003,137.531,168.539,175.51,225.34
6642,대구 태전휴먼시아 ,4001004,105.66,121.81,141.321,148.879
6643,대구 태전휴먼시아 ,4001005,123.762,158.488,140.301,149.969
6644,대구 태전휴먼시아 ,4001006,143.031,160.988,169.082,222.117
6645,대구 태전휴먼시아 ,4001007,125.689,161.721,74.109,50.051
6646,대구 태전휴먼시아 ,4001008,175.918,200.07,222.5,245.738
6647,대구 태전휴먼시아 ,4001009,123.389,145.58,153.74,188.241
6648,대구 태전휴먼시아 ,4001010,126.76,167.379,216.211,329.558
6649,대구 태전휴먼시아 ,4001011,204.93,237.507,279.493,407.629
6650,대구 태전휴먼시아 ,4001012,147.898,169.543,162.047,194.242
6651,대구 태전휴먼시아 ,4001013,160.76,184.131,194.119,260.349
6652,대구 태전휴먼시아 ,4001014,204.238,270.402,268.59,302.75
6653,대구 태전휴먼시아 ,4001015,81.0,103.27,107.17,116.91
6654,대구 태전휴먼시아 ,4001016,226.231,255.5,294.011,381.957
6655,대구 태전휴먼시아 ,4001017,141.839,172.711,180.34,184.321
6656,대구 태전휴먼시아 ,4001018,203.821,215.558,230.09,247.0
6657,대구 태전휴먼시아 ,4001019,116.311,162.138,129.961,207.491
6658,대구 태전휴먼시아 ,4001020,240.781,306.949,383.32,454.899
6659,대구 태전휴먼시아 ,4001021,206.348,280.89,318.36,399.793
6660,대구 태전휴먼시아 ,4001022,109.262,140.808,134.122,144.798
6661,대구 태전휴먼시아 ,4001023,216.031,275.25,334.86,517.211
6662,대구 태전휴먼시아 ,4001024,152.438,193.769,171.363,174.329
6663,대구 태전휴먼시아 ,4001025,235.808,284.52,284.371,292.551
6664,대구 태전휴먼시아 ,4001026,290.41,317.12,389.43,437.35
6665,대구 태전휴먼시아 ,4001027,118.828,150.602,181.0,218.461
6666,대구 태전휴먼시아 ,4001028,211.441,240.91,203.528,200.66
6667,대구 태전휴먼시아 ,4001029,168.599,236.02,222.07,270.68
6668,대구 태전휴먼시아 ,4001030,185.929,237.04,304.199,377.679
6669,대구 태전휴먼시아 ,4001031,155.379,200.211,221.828,335.5
6670,대구 태전휴먼시아 ,4001032,131.359,155.0,181.359,250.508
6671,대구 태전휴먼시아 ,4001033,173.269,197.301,202.797,230.09
6672,대구 태전휴먼시아 ,4001034,171.641,224.289,243.68,352.34
6673,대구 태전휴먼시아 ,4001035,156.571,212.027,194.082,231.18
6674,대구 태전휴먼시아 ,4001036,160.801,193.508,279.801,372.011
6675,대구 태전휴먼시아 ,4001037,146.759,182.221,188.141,200.099
6676,대구 태전휴먼시아 ,4001038,91.571,108.777,122.703,132.641
6677,대구 태전휴먼시아 ,4001039,89.812,111.821,131.847,169.192
6678,대구 태전휴먼시아 ,4001040,128.439,129.68,150.279,184.981
