,Apartment,Customer,April,May,June,July
8477,마포 상암월드컵파크,5002010,212.11,249.82,296.27,443.37
8478,마포 상암월드컵파크,5002011,172.34,225.61,173.72,265.13
8479,마포 상암월드컵파크,5002013,96.87,97.43,134.38,223.47
8480,마포 상암월드컵파크,5002014,130.44,165.41,198.15,253.81
8481,마포 상암월드컵파크,5002015,88.79,112.87,144.11,190.48
8482,마포 상암월드컵파크,5002016,76.66,118.66,151.12,221.66
8483,마포 상암월드컵파크,5002017,81.25,96.81,101.12,130.29
8484,마포 상암월드컵파크,5002018,190.46,227.56,246.41,396.68
8485,마포 상암월드컵파크,5002019,130.6,174.62,298.3,398.2
8486,마포 상암월드컵파크,5002020,187.23,228.01,249.54,382.99
8487,마포 상암월드컵파크,5002021,128.68,167.33,219.37,336.26
8488,마포 상암월드컵파크,5002022,118.25,151.15,169.0,313.85
8489,마포 상암월드컵파크,5002023,114.98,150.65,229.07,431.17
8490,마포 상암월드컵파크,5002024,123.49,156.4,199.07,228.79
8491,마포 상암월드컵파크,5002025,161.08,192.99,221.36,297.62
8492,마포 상암월드컵파크,5002026,236.18,301.72,348.51,553.08
8493,마포 상암월드컵파크,5002027,122.98,135.62,146.87,221.41
8494,마포 상암월드컵파크,5002028,123.33,134.01,192.01,306.96
8495,마포 상암월드컵파크,5002029,123.53,147.12,226.72,465.72
8496,마포 상암월드컵파크,5002030,192.29,255.68,249.34,446.89
8497,마포 상암월드컵파크,5002031,153.16,171.75,172.87,160.39
8498,마포 상암월드컵파크,5002032,113.34,166.29,209.1,429.37
8499,마포 상암월드컵파크,5002033,59.65,78.07,86.43,87.47
8500,마포 상암월드컵파크,5002034,231.21,275.24,321.13,517.64
8501,마포 상암월드컵파크,5002035,127.55,128.56,154.46,184.28
8502,마포 상암월드컵파크,5002036,280.7,336.9,350.81,430.73
8503,마포 상암월드컵파크,5002037,262.04,340.53,349.97,608.17
8504,마포 상암월드컵파크,5002038,111.65,132.93,179.9,287.52
8505,마포 상암월드컵파크,5002039,131.93,169.4,217.14,410.68
8506,마포 상암월드컵파크,5002040,164.14,185.47,223.11,308.78
8507,마포 상암월드컵파크,5002041,37.06,46.34,49.58,69.68
8508,마포 상암월드컵파크,5002042,109.86,141.87,152.9,211.22
8509,마포 상암월드컵파크,5002043,126.76,170.92,123.25,190.02
8510,마포 상암월드컵파크,5002044,176.91,212.23,198.15,277.37
8511,마포 상암월드컵파크,5002045,152.08,181.66,146.05,255.24
8512,마포 상암월드컵파크,5002046,182.22,190.04,282.38,418.18
8513,마포 상암월드컵파크,5003000,296.28,353.94,393.8,535.74
8514,마포 상암월드컵파크,5003001,149.37,173.22,222.07,329.85
8515,마포 상암월드컵파크,5003002,197.76,271.37,282.5,340.22
8516,마포 상암월드컵파크,5003003,166.79,209.97,196.91,258.44
8517,마포 상암월드컵파크,5003004,188.95,231.63,291.55,381.53
8518,마포 상암월드컵파크,5003005,136.8,178.39,204.42,300.92
